Active,Title,Gender,Salutation,FirstName,LastName,Address,PostalCode,PlaceOfResidence,Nationality,OasiNumber,DateOfBirth,EmailAddress,PrivatePhone,BusinessPhone,BusinessAddress,CommaSeparatedNoteIds,CompanyName,CustomerType,CompanyContact,CustomerNumber,Department,Role,CadreLevel,DegreeOfEmployment,DateOfJoining,DateOfLeaving,EmployeeNumber,CurrentApprenticeshipYear,YearsOfApprenticeship
0,Prof.,Male,Mr,John,Doe,123 Main St,12345,New York City,United States,123.456.789,1990-01-15,johndoe@email.com,123-456-7890,987-654-3210,456 Business Rd,,ABC Inc.,B,John Smith,CUST1001,,,,,,,,,
1,,Female,Ms,Jane,Smith,456 Elm St,67890,Los Angeles,United States,987.654.321,1985-05-20,janesmith@email.com,987-654-3210,123-456-7890,789 Corporate Ave,,XYZ Corp.,E,Jane Johnson,CUST1002,,,,,,,,,
1,Dr.,Other,Mx,Alex,Johnson,789 Oak St,54321,Toronto,Canada,567.890.123,1980-10-03,alexjohnson@email.com,555-555-5555,555-555-5555,123 Office Blvd,,LMN Ltd.,A,Alex Brown,CUST1003,,,,,,,,,
1,,Male,Mr,Michael,Williams,345 Maple St,98765,London,United Kingdom,345.678.901,1982-07-12,michael@email.com,444-444-4444,444-444-4444,987 Tech Rd,,PQR Corp.,C,Michael Johnson,CUST1004,,,,,,,,,
1,Dr.,Female,Ms,Sarah,Miller,567 Pine St,23456,Berlin,Germany,234.567.890,1987-12-30,sarah@email.com,666-666-6666,666-666-6666,456 Sales Ave,,STU Solutions,A,Sarah Davis,CUST1005,,,,,,,,,
1,,Male,Mr,David,Anderson,678 Birch St,34567,Paris,France,456.789.012,1995-04-08,david@email.com,777-777-7777,777-777-7777,789 Research Rd,,VWX Innovations,D,David Lee,CUST1006,,,,,,,,,
0,,Female,Ms,Emily,Moore,890 Cedar St,87654,Chicago,United States,678.901.234,1988-11-22,emily@email.com,888-888-8888,888-888-8888,234 Marketing Rd,,YZA Enterprises,B,Emily Taylor,CUST1007,,,,,,,,,
0,,Other,Mx,Chris,Brown,234 Oak St,43210,Vancouver,Canada,789.012.345,1983-03-17,chris@email.com,333-333-3333,333-333-3333,789 Finance Rd,,,,,,IT,Senior Software Developer,2,100,2011-02-15,9998-12-31,EMP201,,
1,,Male,Mr,Daniel,Wilson,789 Redwood St,76543,Edinburgh,United Kingdom,890.123.456,1993-08-05,daniel@email.com,222-222-2222,222-222-2222,567 Support Rd,,,,,,HR,Recruiter,3,80,2014-08-23,9998-12-31,EMP202,,
1,,Female,Ms,Olivia,Jones,123 Spruce St,54321,Munich,Germany,901.234.567,1991-12-18,olivia@email.com,111-111-1111,111-111-1111,345 IT Rd,,,,,,IT,Security,2,90,2016-05-09,9998-12-31,EMP203,,
1,,Male,Mr,Robert,Johnson,987 Willow St,54321,San Francisco,United States,901.234.567,1991-12-18,robert@email.com,222-222-2222,111-111-1111,345 IT Rd,,,,,,HR,Manager,4,100,2018-12-12,9998-12-31,EMP204,,
0,,Female,Ms,Ella,Wilson,123 Oak St,12345,Montreal,Canada,901.234.567,1991-12-18,ella@email.com,333-333-3333,111-111-1111,345 IT Rd,,,,,,IT,Junior Developer,0,100,2022-07-31,9998-12-31,EMP205,2,4
1,,Male,Mr,William,Brown,456 Birch St,67890,Manchester,United Kingdom,901.234.567,1991-12-18,william@email.com,444-444-4444,111-111-1111,345 IT Rd,,,,,,IT,Support,1,80,2020-09-21,9998-12-31,EMP206,,
